"Reference","Latitude","Longitude"
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5300788323,153.153879936
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5231374511,153.152908267
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5170088706,153.15972458
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.5077617537,153.136676953
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4854081259,153.127639954
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4863958379,153.13336059
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.4947662794,153.131750872
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.5057049391,153.144085742
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.634205476,153.06103238
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6440941952,153.052968421
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
